label,scope,split,subset,count
77,split,subject_exclusive,val,12
78,split,subject_exclusive,val,9
8,split,subject_exclusive,val,4
80,split,subject_exclusive,val,2
81,split,subject_exclusive,val,12
82,split,subject_exclusive,val,19
83,split,subject_exclusive,val,91
84,split,subject_exclusive,val,9
85,split,subject_exclusive,val,3
86,split,subject_exclusive,val,7
87,split,subject_exclusive,val,8
88,split,subject_exclusive,val,28
89,split,subject_exclusive,val,9
9,split,subject_exclusive,val,32
90,split,subject_exclusive,val,2
91,split,subject_exclusive,val,32
92,split,subject_exclusive,val,7
93,split,subject_exclusive,val,10
94,split,subject_exclusive,val,0
95,split,subject_exclusive,val,3
96,split,subject_exclusive,val,6
97,split,subject_exclusive,val,12
98,split,subject_exclusive,val,63
99,split,subject_exclusive,val,648
0,split,subject_exclusive,test,379
1,split,subject_exclusive,test,12
10,split,subject_exclusive,test,8
100,split,subject_exclusive,test,21
101,split,subject_exclusive,test,0
102,split,subject_exclusive,test,0
103,split,subject_exclusive,test,5
104,split,subject_exclusive,test,0
105,split,subject_exclusive,test,0
106,split,subject_exclusive,test,5
107,split,subject_exclusive,test,0
108,split,subject_exclusive,test,37
109,split,subject_exclusive,test,0
11,split,subject_exclusive,test,22
110,split,subject_exclusive,test,0
112,split,subject_exclusive,test,0
113,split,subject_exclusive,test,0
114,split,subject_exclusive,test,4
115,split,subject_exclusive,test,15
116,split,subject_exclusive,test,0
117,split,subject_exclusive,test,17
118,split,subject_exclusive,test,4
119,split,subject_exclusive,test,14
12,split,subject_exclusive,test,16
120,split,subject_exclusive,test,24
121,split,subject_exclusive,test,42
122,split,subject_exclusive,test,0
123,split,subject_exclusive,test,19
124,split,subject_exclusive,test,0
125,split,subject_exclusive,test,19
126,split,subject_exclusive,test,5
127,split,subject_exclusive,test,22
128,split,subject_exclusive,test,5
129,split,subject_exclusive,test,0
13,split,subject_exclusive,test,17
130,split,subject_exclusive,test,24
131,split,subject_exclusive,test,23
132,split,subject_exclusive,test,0
133,split,subject_exclusive,test,18
134,split,subject_exclusive,test,0
135,split,subject_exclusive,test,0
136,split,subject_exclusive,test,0
137,split,subject_exclusive,test,10
14,split,subject_exclusive,test,18
15,split,subject_exclusive,test,0
16,split,subject_exclusive,test,53
17,split,subject_exclusive,test,69
18,split,subject_exclusive,test,4
19,split,subject_exclusive,test,18
2,split,subject_exclusive,test,10
20,split,subject_exclusive,test,0
21,split,subject_exclusive,test,0
22,split,subject_exclusive,test,0
23,split,subject_exclusive,test,0
24,split,subject_exclusive,test,0
25,split,subject_exclusive,test,0
26,split,subject_exclusive,test,0
27,split,subject_exclusive,test,0
28,split,subject_exclusive,test,0
29,split,subject_exclusive,test,10
3,split,subject_exclusive,test,17
30,split,subject_exclusive,test,0
31,split,subject_exclusive,test,5
32,split,subject_exclusive,test,0
33,split,subject_exclusive,test,5
34,split,subject_exclusive,test,0
35,split,subject_exclusive,test,20
36,split,subject_exclusive,test,9
37,split,subject_exclusive,test,0
38,split,subject_exclusive,test,24
39,split,subject_exclusive,test,95
4,split,subject_exclusive,test,5
40,split,subject_exclusive,test,10
41,split,subject_exclusive,test,15
42,split,subject_exclusive,test,25
43,split,subject_exclusive,test,0
44,split,subject_exclusive,test,19
45,split,subject_exclusive,test,0
46,split,subject_exclusive,test,25
47,split,subject_exclusive,test,0
48,split,subject_exclusive,test,24
49,split,subject_exclusive,test,0
5,split,subject_exclusive,test,18
50,split,subject_exclusive,test,15
51,split,subject_exclusive,test,0
52,split,subject_exclusive,test,29
53,split,subject_exclusive,test,0
54,split,subject_exclusive,test,25
55,split,subject_exclusive,test,0
56,split,subject_exclusive,test,0
57,split,subject_exclusive,test,0
58,split,subject_exclusive,test,0
59,split,subject_exclusive,test,83
6,split,subject_exclusive,test,19
60,split,subject_exclusive,test,21
61,split,subject_exclusive,test,0
62,split,subject_exclusive,test,0
63,split,subject_exclusive,test,0
64,split,subject_exclusive,test,0
65,split,subject_exclusive,test,25
66,split,subject_exclusive,test,109
67,split,subject_exclusive,test,15
68,split,subject_exclusive,test,30
69,split,subject_exclusive,test,0
7,split,subject_exclusive,test,79
70,split,subject_exclusive,test,0
71,split,subject_exclusive,test,0
72,split,subject_exclusive,test,25
73,split,subject_exclusive,test,24
74,split,subject_exclusive,test,15
75,split,subject_exclusive,test,9
76,split,subject_exclusive,test,0
77,split,subject_exclusive,test,5
78,split,subject_exclusive,test,15
8,split,subject_exclusive,test,0
80,split,subject_exclusive,test,155
81,split,subject_exclusive,test,0
82,split,subject_exclusive,test,33
83,split,subject_exclusive,test,51
84,split,subject_exclusive,test,0
85,split,subject_exclusive,test,5
86,split,subject_exclusive,test,0
87,split,subject_exclusive,test,0
88,split,subject_exclusive,test,0
89,split,subject_exclusive,test,0
9,split,subject_exclusive,test,26
90,split,subject_exclusive,test,0
91,split,subject_exclusive,test,0
92,split,subject_exclusive,test,0
93,split,subject_exclusive,test,0
94,split,subject_exclusive,test,0
95,split,subject_exclusive,test,0
96,split,subject_exclusive,test,0
